,Qtr,StateAbbreviation,Deaths,Cases,UnemploymentRate(%),Personal_Income_Change,GDP_growth_rate,State,Mask,Cases_p,Deaths_p,CFR,CFR_p
0,2019Q3,AK,0,0,,1.6,3.6,Alaska,"No, nan",51785,220,,0.4
1,2019Q3,AL,0,0,,2.9,2.8,Alabama,"Yes, 07/16/2020",424028,6121,,1.4000000000000001
2,2019Q3,AR,0,0,,3.0,1.8,Arkansas,"Yes, 07/20/2020",272263,4343,,1.6
3,2019Q3,AZ,0,0,,4.1,4.7,Arizona,"No, nan",679282,11265,,1.7000000000000002
4,2019Q3,CA,0,0,,1.5,1.6,California,"Yes, 07/18/2020",3032007,33742,,1.0999999999999999
5,2019Q3,CO,0,0,,5.0,6.0,Colorado,"Yes, 07/17/2020",378311,5462,,1.4000000000000001
6,2019Q3,CT,0,0,,0.1,0.6,Connecticut,"Yes, 04/17/2020",230125,6670,,2.9000000000000004
7,2019Q3,DC,0,0,,2.1,1.7,District of Columbia,"Yes, 07/22/2020",34033,857,,2.5
8,2019Q3,DE,0,0,,2.1,-0.4,Delaware,"Yes, 09/16/2020",70910,1016,,1.4000000000000001
9,2019Q3,FL,0,0,,2.2,3.0,Florida,"No, nan",1579273,24273,,1.5
10,2019Q3,GA,0,0,,2.6,2.4,Georgia,"No, nan",796307,11967,,1.5
11,2019Q3,HI,0,0,,2.5,1.5,Hawaii,"Yes, 03/16/2020",24424,319,,1.3
12,2019Q3,IA,0,0,,7.8,2.4,Iowa,"Yes, 11/17/2020",306082,4324,,1.4000000000000001
13,2019Q3,ID,0,0,,4.9,4.7,Idaho,"No, nan",155641,1609,,1.0
14,2019Q3,IL,0,0,,3.3,2.8,Illinois,"Yes, 6/26/2020",1074719,20119,,1.9
15,2019Q3,IN,0,0,,3.7,3.3,Indiana,"Yes, 07/27/2020",595760,9340,,1.6
16,2019Q3,KS,0,0,,5.4,0.9,Kansas,"Yes, 07/02/2020",262519,3525,,1.3
17,2019Q3,KY,0,0,,3.3,2.7,Kentucky,"Yes, 07/09/2020",331982,3462,,1.0
18,2019Q3,LA,0,0,,0.4,4.3,Louisiana,"Yes, 07/11/2020",369951,8253,,2.1999999999999997
19,2019Q3,MA,0,0,,0.7,2.3,Massachusetts,"Yes, 05/06/2020",473441,13705,,2.9000000000000004
20,2019Q3,MD,0,0,,1.4,1.8,Maryland,"Yes, 07/31/2020",328417,6596,,2.0
21,2019Q3,ME,0,0,,3.1,4.6,Maine,"Yes, 05/01/2020",33876,514,,1.5
22,2019Q3,MI,0,0,,2.4,3.4,Michigan,"Yes, 10/05/2020",583846,14677,,2.5
23,2019Q3,MN,0,0,,4.3,2.7,Minnesota,"Yes, 07/25/2020",447417,6007,,1.3
24,2019Q3,MO,0,0,,4.0,2.7,Missouri,"No, nan",469352,6655,,1.4000000000000001
25,2019Q3,MS,0,0,,4.6,3.3,Mississippi,"No, nan",253932,5524,,2.1999999999999997
26,2019Q3,MT,0,0,,6.1,6.0,Montana,"Yes, 07/15/2020",89584,1093,,1.2
27,2019Q3,NC,0,0,,2.6,2.9,North Carolina,"Yes, 06/24/2020",676315,8131,,1.2
28,2019Q3,ND,0,0,,9.8,-0.8,North Dakota,"Yes, 11/14/2020",95956,1406,,1.5
29,2019Q3,NE,0,0,,8.1,5.8,Nebraska,"No, nan",182393,1896,,1.0
30,2019Q3,NH,0,0,,1.1,0.3,New Hampshire,"Yes, 11/20/2020",57864,933,,1.6
31,2019Q3,NJ,0,0,,2.3,2.5,New Jersey,"Yes, 07-08-2020",631074,20458,,3.2
32,2019Q3,NM,0,0,,4.1,6.7,New Mexico,"Yes, 05/16/2020",164263,2960,,1.7999999999999998
33,2019Q3,NV,0,0,,3.0,4.7,Nevada,"Yes, 06/24/2020",262880,3784,,1.4000000000000001
34,2019Q3,NY,0,0,,1.8,-0.5,New York,"Yes, 04/17/2020",1256228,40753,,3.2
35,2019Q3,OH,0,0,,2.6,2.8,Ohio,"Yes, 07/23/2020",831066,10281,,1.2
36,2019Q3,OK,0,0,,2.5,1.6,Oklahoma,"No, nan",356816,2994,,0.8
37,2019Q3,OR,0,0,,2.9,3.4,Oregon,"Yes, 07/01/2020",133851,1811,,1.4000000000000001
38,2019Q3,PA,0,0,,1.5,2.5,Pennsylvania,"Yes, 07/01/2020",776490,19390,,2.5
39,2019Q3,RI,0,0,,-0.4,-2.4,Rhode Island,"Yes, 05-08-2020",104443,2005,,1.9
